Status;Name/Label;Value;Units/States;Description;Location;Type;Category;Expiration Time;Reference
;ERN_4001ULLAGE;2,899.4;L;Ullage;Bell>ERN>N2-1>ERN_MIG-30>ERN_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:ERN/N2-1.ERN_MIG-30.ERN_4001ULLAGE
;GUE_4001VL;8,671.4;L;Volume;Bell>GUE>N2-1>GUE_MIG-10>GUE_4001VL;N2 AI;HVAC;;DCOCBH-D05:GUE/N2-1.GUE_MIG-10.GUE_4001VL
;GUE_4001ULLAGE;1,321.6;L;Ullage;Bell>GUE>N2-1>GUE_MIG-10>GUE_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:GUE/N2-1.GUE_MIG-10.GUE_4001ULLAGE
;JRD_4001VLMB;4,534.5;L;Volume libre;Bell>JRD>N2-1>INT-15>JRD_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:JRD/N2-1.INT-15.JRD_4001VLMB
;JRD_4001VLM;5,465.5;L;Volume;Bell>JRD>N2-1>INT-15>JRD_4001VLM;N2 AI;HVAC;;DCOCBH-D05:JRD/N2-1.INT-15.JRD_4001VLM
;LAS_4001VLM;4,076.4;L;Volume;Bell>LAS>N2-1>LAS_MIG-20>LAS_4001VLM;N2 AI;HVAC;Unspecified;DCOCBH-D05:LAS/N2-1.LAS_MIG-20.LAS_4001VLM
;LAS_4001VLMB;996.6;L;Volume Libre;Bell>LAS>N2-1>LAS_MIG-20>LAS_4001VLMB;N2 AI;HVAC;Unspecified;DCOCBH-D05:LAS/N2-1.LAS_MIG-20.LAS_4001VLMB
;MON_4001VLM;19,538.2;L;Volume;Bell>MON>N2-1>INT-20>MON_4001VLM;N2 AI;HVAC;;DCOCBH-D05:MON/N2-1.INT-20.MON_4001VLM
;MON_4001VLMB;5,461.8;L;Volume Libre;Bell>MON>N2-1>INT-20>MON_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:MON/N2-1.INT-20.MON_4001VLMB
;ONT_4001VLM;29,280.8;L;Volume;Bell>ONT-4>N2-1>ONT-4 INT-30>ONT_4001VLM;N2 AI;ONT;;DCOCBH-D05:ONT-4/N2-1.ONT-4 INT-30.ONT_4001VLM
;ONT_4001VLMB;12,719.2;L;Volume Libre;Bell>ONT-4>N2-1>ONT-4 INT-30>ONT_4001VLMB;N2 AI;ONT;;DCOCBH-D05:ONT-4/N2-1.ONT-4 INT-30.ONT_4001VLMB
;ONT_4002VLM;27,842.5;L;Volume;Bell>ONT-4>N2-1>ONT-4 INT-31>ONT_4002VLM;N2 AI;ONT;;DCOCBH-D05:ONT-4/N2-1.ONT-4 INT-31.ONT_4002VLM
;ONT_4002VLMB;14,157.5;L;Volume Libre;Bell>ONT-4>N2-1>ONT-4 INT-31>ONT_4002VLMB;N2 AI;ONT;;DCOCBH-D05:ONT-4/N2-1.ONT-4 INT-31.ONT_4002VLMB
;PAT_4001VLM;1,536.7;L;Volume;Bell>PAT>N2-1>INT-05>PAT_4001VLM;N2 AI;HVAC;;DCOCBH-D05:PAT/N2-1.INT-05.PAT_4001VLM
;PAT_4001VLMB;543.3;L;Volume libre;Bell>PAT>N2-1>INT-05>PAT_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:PAT/N2-1.INT-05.PAT_4001VLMB
;PAT_4002VLM;1,536.7;L;Volume;Bell>PAT>N2-1>INT-6>PAT_4002VLM;N2 AI;HVAC;;DCOCBH-D05:PAT/N2-1.INT-6.PAT_4002VLM
;PAT_4002VLMB;543.3;L;Volume libre;Bell>PAT>N2-1>INT-6>PAT_4002VLMB;N2 AI;General;;DCOCBH-D05:PAT/N2-1.INT-6.PAT_4002VLMB
;PEA_4001VL;8,781.2;L;Volume;Bell>PEA>N2-1>PEA_MIG-30>PEA_4001VL;N2 AI;HVAC;;DCOCBH-D05:PEA/N2-1.PEA_MIG-30.PEA_4001VL
;PEA_4001ULLAGE;1,218.8;L;Ullage;Bell>PEA>N2-1>PEA_MIG-30>PEA_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:PEA/N2-1.PEA_MIG-30.PEA_4001ULLAGE
;PFD_4001VL;8,092.3;;Volume;Bell>PFD>N2-2>PFD_INT_01>PFD_4001VL;N2 AI;HVAC;;DCOCBH-D05:PFD/N2-2.PFD_INT_01.PFD_4001VL
;PFD_4001ULLAGE;1,909.7;;Ullage;Bell>PFD>N2-2>PFD_INT_01>PFD_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:PFD/N2-2.PFD_INT_01.PFD_4001ULLAGE
;PPN_4001NIVCAR;50.6;%;NIveau CArburant;Bell>PPN>BACnet IP1>Device-10426>AV-4;BACnet AV;PPN;Unspecified;DCOCBH-D05:PPN/BACnet IP1.Device-10426.AV-4
